"BM Display","BM Tech Name","BM Data Type","BM CS Name","IMO Attribute","IMO Data Type"
"Partner Billing Value","partner_billing_value","Single Inputline","","mpc_billingvalue","Text - single-line"
"Billing Rate","billing_rate","Single Inputline","","mpc_billingrate","Money"
"Currency","currency","Single Select","PM_Currency","mpc_currency","Dropdown list"
"Billing Comment(s)","billing_comments","Multi Inputline","","mpc_billinginfocomment","Text - multi-line"
"Mileage Offer ","mileage_offer_","Single Select","PM_mpc_mileage_offer","mpc_cat_fixedoffer","vargraphic, 200"
"Number of fixed miles","number_of_fixed_miles","Single Inputline","","mpc_cat_nbfixedmiles","integer"
"Mileage Offer ","mileage_offer_","Single Select","PM_mpc_mileage_offer","mpc_cat_variablemiles","vargraphic, 200"
"Variable offer value","variable_offer_value","Single Inputline","","mpc_cat_variableoffervalue","Float"
"Unit of meassure","unit_of_meassure","Single Select","PM_unit_of_measure","mpc_cat_unitmeasure","vargraphic, 200"
"Mileage Offer ","mileage_offer_","Single Select","PM_mpc_mileage_offer","mpc_cat_combined","vargraphic, 200"
"Group","group","Single Select","PM_mpc_group","mpc_catgroup",""
"Sponsor","mpc_sponsor","Single Select","PM_mpc_sponsor","mpc_catsponsor",""
"Action","action","Single Select","PM_mpc_action","mpc_cataction",""
"Family","family","Single Select","PM_mpc_family","mpc_catfamily",""
"Context","context","Single Inputline","","mpc_catcontext",""
"Does the MPC qualify the Member as being active with the Aeroplan Partner?","does_mpc_qualify_the_member_as_being_active_as_the_aeroplan_partner","Single Select","PM_YN","mpc_cat_activewithpartner",""
"MPC_CAT_NBFLATMILES","MPC_CAT_NBFLATMILES","MULTILINE INPUT AREA","","MPC_CAT_NBFLATMILES",""
"MPC_CAT_FLATMILES","MPC_CAT_FLATMILES","MULTILINE INPUT AREA","","MPC_CAT_FLATMILES",""
"MPC_CAT_NBVARMILES","MPC_CAT_NBVARMILES","NUMBERS","","MPC_CAT_NBVARMILES",""
"MPC_CAT_VARMILES","mpc_cat_varmiles","NUMBERS","","MPC_CAT_VARMILES",""
"Due Date","due_date","DATE PICKER","","due_date","Date selector"
"Actual Delivery Date","actual_delivery_date","DATE PICKER","","scheduled_date","Date selector"
"Project Code (Legacy Only)","project_code_legacy_only","SINGLE INPUTLINE","","project_code","Text - single-line"
"Run Counts (Legacy Only)","run_counts_legacy_only","SINGLE INPUTLINE","","schedgrid_runcounts","integer"
"Reason (Legacy Only)","reason_legacy_only","SINGLE INPUTLINE","","schedgrid_reason","vargraphic, 200"
"Comments","comments","SINGLE INPUTLINE","","comments","Text - single-line"
"Currency Type","currency_type","Single Select ","PM_Currency_Type_MPC","mpc_aero_currencytype","integer"
"Currency Description","currency_description","Multiline Input","","mpc_currencydescr","integer"
"Currency Amount","currency_amount","Single lineinput","","mpc_othercurrencies_amnt","Text - single-line"
"Comment(s)","comments","Multiline Input","","mpc_othercurrencies_comment","Text - multi-line"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
